country,harbour_cd,harbour_name
FRA,FRIZO,Izon
FRA,FRJLP,Juan-les-Pins
FRA,FRJUV,Juvisy-sur-Orge
FRA,FRKSL,Kastellac'h
FRA,FRKUK,Kerdruc
FRA,FRKRE,Kerlouan
FRA,FRKOK,Kerroch
FRA,FRKSI,Korjou/Saint-Michel
FRA,FRKOC,Krascout
FRA,FRKTK,Krity
FRA,FRBR5,LaBarbotire
FRA,FRLDM,LaBarre-de-Monts
FRA,FRBTD,laBastide/Bordeaux
FRA,FRLBY,LaBaule
FRA,FRBE5,LaBelleEtoile
FRA,FRLCH,laChapelle
FRA,FRLCT,LaCiotat
FRA,FRLC5,LaCotinire
FRA,FRLAC,Lacq
FRA,FRLXV,LaCroix-Valmer
FRA,FRCF7,LaDouane(Lge-Cap-Ferret)
FRA,FRLFK,LaFlotte/ledeR
FRA,FRLZF,LaFort-Fouesnant
FRA,FRLF3,LaFosse
FRA,FRLFY,LaFresnaye-au-Sauvage
FRA,FRLHH,LaHume
FRA,FRAS3,L'Aiguillon-sur-Mer
FRA,FRAHZ,L'Alpe-d'Huez
