a3_code,scientific_name,species_family,species_order
KKK,Calliactis parasitica,Hormathiidae,ANTHOZOA
KKL,Actinauge richardi,Hormathiidae,ANTHOZOA
KKM,Cancer amphioetus,Cancridae,BRACHYURA
KKN,Cancer antennarius,Cancridae,BRACHYURA
KKO,Codakia orbicularis,Lucinidae,BIVALVIA
KKP,Codakia punctata,Lucinidae,BIVALVIA
KKR,Architectonica perspectiva,Architectonicidae,GASTROPODA
KKS,Circe scripta,Veneridae,BIVALVIA
KKT,Codakia tigerina,Lucinidae,BIVALVIA
KKU,Crocodylus palustris,Crocodylidae,CROCODILIA
KKV,Actinostolidae,Actinostolidae,ANTHOZOA
KKW,Hormathiidae,Hormathiidae,ANTHOZOA
KKX,Architectonica maxima,Architectonicidae,GASTROPODA
KLA,Hypoptychus dybowskii,Hypoptychidae,GASTEROSTEIFORMES
KLB,Callinectes bocourti,Portunidae,BRACHYURA
KLC,Callinectes maracaiboensis,Portunidae,BRACHYURA
KLD,Chlamys rubida,Pectinidae,BIVALVIA
KLE,Callinectes exasperatus,Portunidae,BRACHYURA
KLG,Callinectes marginatus,Portunidae,BRACHYURA
KLH,Chlamys hastata,Pectinidae,BIVALVIA
KLI,Callinectes bellicosus,Portunidae,BRACHYURA
KLJ,Chlamys asperrima,Pectinidae,BIVALVIA
KLK,Callista chione,Veneridae,BIVALVIA
KLL,Callinectes larvatus,Portunidae,BRACHYURA
KLM,Callinectes amnicola,Portunidae,BRACHYURA
KLN,Chlamys senatoria,Pectinidae,BIVALVIA
KLO,Callinectes ornatus,Portunidae,BRACHYURA
KLP,Callinectes pallidus,Portunidae,BRACHYURA
KLQ,Calliostoma conulus,Trochidae,GASTROPODA
KLR,Klausewitzia ritae,Characidae,CHARACIFORMES
KLS,Callinectes similis,Portunidae,BRACHYURA
KLT,Callinectes rathbunae,Portunidae,BRACHYURA
KLU,Callinectes arcuatus,Portunidae,BRACHYURA
KLV,Paralomis longipes,Lithodidae,ANOMURA
KLW,Gymnothorax javanicus,MURAENIDAE,ANGUILLIFORMES
KLX,Codakia spp.,Lucinidae,BIVALVIA
KLZ,Leporinus agassizii,ANOSTOMIDAE,CHARACIFORMES
KMB,Chama buddiana,Chamidae,BIVALVIA
KMC,Macoma cancellata,Tellinidae,BIVALVIA
KMD,Ceramium codii,Ceramiaceae,RHODOPHYCEAE
KMF,Ceramium fimbriatum,Ceramiaceae,RHODOPHYCEAE
KMH,Chaetomorpha linum,Cladophoraceae,CHLOROPHYCEAE
KMI,Ceramium ciliatum,Ceramiaceae,RHODOPHYCEAE
KMJ,Ceramium paniculatum,Ceramiaceae,RHODOPHYCEAE
KMK,Ceramium pacificum,Ceramiaceae,RHODOPHYCEAE
KML,Chama lazarus,Chamidae,BIVALVIA
KMM,Chlamys multistriata,Pectinidae,BIVALVIA
KMN,Ceramium kondoi,Ceramiaceae,RHODOPHYCEAE
KMO,Cymatium corrugatum,Ranellidae,GASTROPODA
KMP,Chama pacifica,Chamidae,BIVALVIA
KMQ,Ceramium rubrum,Ceramiaceae,RHODOPHYCEAE
KMR,Cymatium parthenopus,Ranellidae,GASTROPODA
KMS,Chama savignyi,Chamidae,BIVALVIA
KMT,Placamen tiara,Veneridae,BIVALVIA
KMU,Cymatium cutaceum,Ranellidae,GASTROPODA
KMV,Chlamys livida,Pectinidae,BIVALVIA
KMW,Chaetomorpha aerea,Cladophoraceae,CHLOROPHYCEAE
KMX,Ceramium tenerrimum,Ceramiaceae,RHODOPHYCEAE
KMY,Cladophora rupestris,Cladophoraceae,CHLOROPHYCEAE
KMZ,Micropogonias megalops,Sciaenidae,PERCOIDEI
KNA,Channa marulius,Channidae,OTHER PERCIFORMES
KNB,Conus betulinus,Conidae,GASTROPODA
